name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood,uri,duration_ms
Crazy Horses,Crazy Horses,The Osmonds,6LqbJXriVJyqJCd9jYoPqP,1972-10-14,46.0,153173.0,0.512,0.215,0.977,0.0,0.343,0.731,-4.505,0.0671,120.165,2.0,4.0,happy,,
Creep,The Best Of,Radiohead,1ytTeSRAU6IRo2itVDwtPv,2008-04-07,0.0,238640.0,0.515,0.0102,0.43,0.0001409999999999,0.129,0.104,-9.935,0.0369,91.841,7.0,4.0,sad,,
Crossing,Crossing,The Tides,08Q4GyxnB8ak1ZwHnjwova,2020-03-19,40.0,153103.0,0.542,0.935,0.189,0.91,0.0932,0.0755,-16.57,0.0398,116.0,0.0,4.0,calm,,
Crystal Shores,Crystal Shores,Dean Valio,0gUAGl4nHShy1dzHikQKKU,2019-05-24,51.0,170958.0,0.482,0.958,0.0257,0.923,0.104,0.144,-26.303,0.0323,109.98,9.0,4.0,calm,,
Curiosity,Curiosity,Beau Projet,3WEdWvAScE1EcBfErseQnC,2019-03-21,60.0,155820.0,0.43,0.985,0.256,0.867,0.106,0.173,-22.088,0.0641,133.955,2.0,4.0,calm,,
Curious Morning,Curious Morning,Michael Orvind,5lZyYNi8OfFWKiX1p9zDQP,2020-07-14,36.0,182222.0,0.391,0.969,0.231,0.954,0.116,0.0882,-17.0,0.0363,107.981,3.0,4.0,calm,,
Cursive,As Long As - EP,Billie Marten,5Iy1wdO0tMaHwKnfFYtlel,2015-11-13,62.0,240400.0,0.494,0.935,0.267,5.58e-05,0.128,0.166,-11.54,0.0308,115.117,0.0,3.0,sad,,
Daar Gaat Ze,Clouseau30,Clouseau,7kMPC3vgXk3o9xUP3GWAJ0,2017-09-01,5.0,227906.0,0.639,0.78,0.4920000000000001,0.0,0.117,0.6659999999999999,-8.497,0.0288,87.03299999999999,5.0,4.0,happy,,
Dance Little Sister,Introducing The Hardline According To Terence Trent D'Arby,Terence Trent D'Arby,4o9Kj7onklt6xbYl3jVArp,1987-07-06,53.0,234640.0,0.722,0.161,0.696,0.0,0.0755,0.93,-11.095,0.0901,115.397,2.0,4.0,happy,,
Dancing On My Own,Dancing On My Own,Calum Scott,02WacdrRpm4zlP8H7X6bnQ,2016-06-03,9.0,260004.0,0.608,0.851,0.174,1.92e-05,0.0855,0.193,-8.796,0.0332,112.175,1.0,4.0,sad,,
Dancing With Your Ghost,Dancing With Your Ghost,Sasha Sloan,1TQXIltqoZ5XXyfCbAeSQQ,2019-06-28,78.0,197732.0,0.629,0.7609999999999999,0.327,2.9600000000000005e-05,0.103,0.381,-8.285,0.029,74.953,11.0,4.0,sad,,
Dancing With an Astronaut,Dancing With an Astronaut,Ellie Rose,43cElHKBLhVdsz0cPETPIj,2019-09-27,41.0,168141.0,0.516,0.487,0.407,0.0235,0.252,0.17,-7.841,0.0283,74.89399999999998,9.0,4.0,sad,,
Dark Side of the Gym,Sleep Well Beast,The National,1OdpIb0nzhDcqwkiYp0O1u,2017-09-08,52.0,290093.0,0.642,0.726,0.475,0.7859999999999999,0.12,0.453,-11.404000000000002,0.0294,103.955,2.0,3.0,sad,,
Darkest Hour,Darkest Hour,Low Roar,36I7pi5g6XZJm3bcgqmLyE,2019-10-18,29.0,179520.0,0.6940000000000001,0.612,0.359,0.738,0.1369999999999999,0.348,-16.105,0.0408,125.077,9.0,4.0,sad,,
Dawning,Dawning,Light of Sun,56ag77KIUFvxJhA1gdObsq,2019-08-26,58.0,206419.0,0.526,0.64,0.471,0.8170000000000001,0.096,0.286,-11.965,0.0424,119.972,0.0,4.0,calm,,
Day 5: For Carol,5 Day Mischon,Tom Misch,3JjeC1epY5y2Jysxn5FVCB,2017-03-31,56.0,394862.0,0.485,0.765,0.4970000000000001,0.8859999999999999,0.132,0.065,-10.022,0.0308,100.857,2.0,4.0,calm,,
De Fléche,De Fléche,Les Manger Tous,5vymVJ2WUlLnMeQqrgwQx8,2019-09-30,52.0,233062.0,0.435,0.6679999999999999,0.333,0.8340000000000001,0.084,0.074,-15.885,0.0308,90.902,8.0,4.0,calm,,
Dear Diary,Dear Diary,Anthony Ramos,5AqPW3fH2H4ORBYTVwfHep,2019-07-19,0.0,216933.0,0.474,0.5870000000000001,0.41,3.97e-06,0.114,0.37,-9.373,0.0644,125.085,7.0,3.0,sad,,
Deep Dark Jungle,Deep Dark Jungle,Nicky Romero,0FTDvOs2mzgHAqL31PBXO5,2019-03-08,0.0,145714.0,0.5870000000000001,0.000405,0.97,0.772,0.202,0.146,-4.512,0.216,128.069,8.0,4.0,happy,,
Den inre skogen,Den inre skogen,Thomas Jackson,0Zl6KnmirT1PeGZvAZY9T1,2020-01-30,55.0,229657.0,0.532,0.924,0.382,0.61,0.134,0.0455,-17.683,0.0543,127.038,9.0,4.0,calm,,
Desire Lines,Split,Lush,63JP68VirmCXtWRoMTX8Xi,1994,39.0,459506.0,0.379,0.000169,0.652,0.0043,0.077,0.0724,-5.4060000000000015,0.0325,121.035,9.0,4.0,sad,,
Dew Drops,Vortex,Pieter de Graaf,0NnFglDnuZH6qKuvhZpB0r,2019-10-11,50.0,335636.0,0.27,0.939,0.0384,0.936,0.1,0.0708,-24.513,0.0361,59.81,11.0,4.0,calm,,
